MFile 1 2 480
MTrk
0 Meta 0x08  47 79 6d 6e 6f 70 e9 64 69 65 20 31 00
0 Meta 0x0a  45 2e 20 53 61 74 69 65 00
0 TimeSig 3/4 24 8
66240 On ch=1 n=69 v=33
66720 On ch=1 n=66 v=33
66720 On ch=1 n=61 v=33
66720 On ch=1 n=57 v=33
67679 On ch=1 n=69 v=0
67679 On ch=1 n=66 v=0
67679 On ch=1 n=61 v=0
67679 On ch=1 n=57 v=0
67680 On ch=1 n=66 v=33
68160 On ch=1 n=66 v=33
68160 On ch=1 n=62 v=33
68160 On ch=1 n=59 v=33
69119 On ch=1 n=66 v=0
69119 On ch=1 n=62 v=0
69119 On ch=1 n=59 v=0
69600 On ch=1 n=66 v=33
69600 On ch=1 n=61 v=33
69600 On ch=1 n=57 v=33
70559 On ch=1 n=66 v=0
70559 On ch=1 n=61 v=0
70559 On ch=1 n=57 v=0
71040 On ch=1 n=66 v=33
71040 On ch=1 n=62 v=33
71040 On ch=1 n=59 v=33
71999 On ch=1 n=66 v=0
71999 On ch=1 n=62 v=0
71999 On ch=1 n=59 v=0
72480 On ch=1 n=66 v=33
72480 On ch=1 n=61 v=33
72480 On ch=1 n=57 v=33
73439 On ch=1 n=66 v=0
73439 On ch=1 n=61 v=0
73439 On ch=1 n=57 v=0
73439 On ch=1 n=66 v=0
73920 On ch=1 n=78 v=33
73920 On ch=1 n=66 v=33
73920 On ch=1 n=62 v=33
73920 On ch=1 n=59 v=33
74399 On ch=1 n=78 v=0
74400 On ch=1 n=81 v=33
74879 On ch=1 n=81 v=0
74879 On ch=1 n=66 v=0
74879 On ch=1 n=62 v=0
74879 On ch=1 n=59 v=0
74880 On ch=1 n=79 v=33
75359 On ch=1 n=79 v=0
75360 On ch=1 n=78 v=33
75360 On ch=1 n=66 v=33
75360 On ch=1 n=61 v=33
75360 On ch=1 n=57 v=33
75839 On ch=1 n=78 v=0
75840 On ch=1 n=73 v=33
76319 On ch=1 n=73 v=0
76319 On ch=1 n=66 v=0
76319 On ch=1 n=61 v=0
76319 On ch=1 n=57 v=0
76320 On ch=1 n=71 v=33
76799 On ch=1 n=71 v=0
76800 On ch=1 n=73 v=33
76800 On ch=1 n=66 v=33
76800 On ch=1 n=62 v=33
76800 On ch=1 n=59 v=33
77279 On ch=1 n=73 v=0
77280 On ch=1 n=74 v=33
77759 On ch=1 n=74 v=0
77759 On ch=1 n=66 v=0
77759 On ch=1 n=62 v=0
77759 On ch=1 n=59 v=0
77760 On ch=1 n=69 v=33
78240 On ch=1 n=66 v=33
78240 On ch=1 n=61 v=33
78240 On ch=1 n=57 v=33
79199 On ch=1 n=69 v=0
79199 On ch=1 n=66 v=0
79199 On ch=1 n=61 v=0
79199 On ch=1 n=57 v=0
79200 On ch=1 n=73 v=33
79680 On ch=1 n=66 v=33
79680 On ch=1 n=61 v=33
79680 On ch=1 n=57 v=33
80639 On ch=1 n=73 v=0
80639 On ch=1 n=66 v=0
80639 On ch=1 n=61 v=0
80639 On ch=1 n=57 v=0
80640 On ch=1 n=78 v=33
81120 On ch=1 n=66 v=33
81120 On ch=1 n=62 v=33
81120 On ch=1 n=59 v=33
82079 On ch=1 n=78 v=0
82079 On ch=1 n=66 v=0
82079 On ch=1 n=62 v=0
82079 On ch=1 n=59 v=0
82080 On ch=1 n=64 v=33
82560 On ch=1 n=59 v=33
82560 On ch=1 n=55 v=33
83519 On ch=1 n=59 v=0
83519 On ch=1 n=55 v=0
84000 On ch=1 n=67 v=33
84000 On ch=1 n=62 v=33
84000 On ch=1 n=59 v=33
84959 On ch=1 n=67 v=0
84959 On ch=1 n=62 v=0
84959 On ch=1 n=59 v=0
85440 On ch=1 n=62 v=33
85440 On ch=1 n=57 v=33
85440 On ch=1 n=53 v=33
86399 On ch=1 n=62 v=0
86399 On ch=1 n=57 v=0
86399 On ch=1 n=53 v=0
86399 On ch=1 n=64 v=0
86400 On ch=1 n=69 v=33
86879 On ch=1 n=69 v=0
86880 On ch=1 n=71 v=33
86880 On ch=1 n=64 v=33
86880 On ch=1 n=60 v=33
86880 On ch=1 n=57 v=33
87359 On ch=1 n=71 v=0
87360 On ch=1 n=72 v=33
87839 On ch=1 n=72 v=0
87839 On ch=1 n=64 v=0
87839 On ch=1 n=60 v=0
87839 On ch=1 n=57 v=0
87840 On ch=1 n=76 v=33
88319 On ch=1 n=76 v=0
88320 On ch=1 n=74 v=33
88320 On ch=1 n=64 v=33
88320 On ch=1 n=59 v=33
88320 On ch=1 n=55 v=33
88799 On ch=1 n=74 v=0
88800 On ch=1 n=71 v=33
89279 On ch=1 n=71 v=0
89279 On ch=1 n=64 v=0
89279 On ch=1 n=59 v=0
89279 On ch=1 n=55 v=0
89280 On ch=1 n=74 v=33
89759 On ch=1 n=74 v=0
89760 On ch=1 n=72 v=33
89760 On ch=1 n=64 v=33
89760 On ch=1 n=59 v=33
89760 On ch=1 n=55 v=33
89760 On ch=1 n=50 v=33
90239 On ch=1 n=72 v=0
90240 On ch=1 n=71 v=33
90719 On ch=1 n=71 v=0
90719 On ch=1 n=64 v=0
90719 On ch=1 n=59 v=0
90719 On ch=1 n=55 v=0
90719 On ch=1 n=50 v=0
90720 On ch=1 n=74 v=33
91200 On ch=1 n=62 v=33
91200 On ch=1 n=57 v=33
91200 On ch=1 n=52 v=33
91200 On ch=1 n=48 v=33
92159 On ch=1 n=62 v=0
92159 On ch=1 n=57 v=0
92159 On ch=1 n=52 v=0
92159 On ch=1 n=48 v=0
92640 On ch=1 n=62 v=33
92640 On ch=1 n=57 v=33
92640 On ch=1 n=54 v=33
92640 On ch=1 n=48 v=33
93119 On ch=1 n=74 v=0
93120 On ch=1 n=74 v=33
93599 On ch=1 n=74 v=0
93599 On ch=1 n=62 v=0
93599 On ch=1 n=57 v=0
93599 On ch=1 n=54 v=0
93599 On ch=1 n=48 v=0
93600 On ch=1 n=76 v=33
94079 On ch=1 n=76 v=0
94080 On ch=1 n=77 v=33
94080 On ch=1 n=65 v=33
94080 On ch=1 n=60 v=33
94080 On ch=1 n=57 v=33
94559 On ch=1 n=77 v=0
94560 On ch=1 n=79 v=33
95039 On ch=1 n=79 v=0
95039 On ch=1 n=65 v=0
95039 On ch=1 n=60 v=0
95039 On ch=1 n=57 v=0
95040 On ch=1 n=81 v=33
95519 On ch=1 n=81 v=0
95520 On ch=1 n=72 v=33
95520 On ch=1 n=64 v=33
95520 On ch=1 n=60 v=33
95520 On ch=1 n=57 v=33
95999 On ch=1 n=72 v=0
96000 On ch=1 n=74 v=33
96479 On ch=1 n=74 v=0
96479 On ch=1 n=64 v=0
96479 On ch=1 n=60 v=0
96479 On ch=1 n=57 v=0
96480 On ch=1 n=76 v=33
96959 On ch=1 n=76 v=0
96960 On ch=1 n=74 v=33
96960 On ch=1 n=64 v=33
96960 On ch=1 n=59 v=33
96960 On ch=1 n=55 v=33
96960 On ch=1 n=50 v=33
97439 On ch=1 n=74 v=0
97440 On ch=1 n=71 v=33
97919 On ch=1 n=71 v=0
97919 On ch=1 n=64 v=0
97919 On ch=1 n=59 v=0
97919 On ch=1 n=55 v=0
97919 On ch=1 n=50 v=0
97920 On ch=1 n=74 v=33
98400 On ch=1 n=62 v=33
98400 On ch=1 n=57 v=33
98400 On ch=1 n=52 v=33
98400 On ch=1 n=48 v=33
99359 On ch=1 n=62 v=0
99359 On ch=1 n=57 v=0
99359 On ch=1 n=52 v=0
99359 On ch=1 n=48 v=0
99840 On ch=1 n=62 v=33
99840 On ch=1 n=57 v=33
99840 On ch=1 n=54 v=33
99840 On ch=1 n=48 v=33
100319 On ch=1 n=74 v=0
100320 On ch=1 n=74 v=33
100799 On ch=1 n=74 v=0
100799 On ch=1 n=62 v=0
100799 On ch=1 n=57 v=0
100799 On ch=1 n=54 v=0
100799 On ch=1 n=48 v=0
100800 On ch=1 n=79 v=33
101280 On ch=1 n=67 v=33
101280 On ch=1 n=64 v=33
101280 On ch=1 n=59 v=33
102239 On ch=1 n=79 v=0
102239 On ch=1 n=67 v=0
102239 On ch=1 n=64 v=0
102239 On ch=1 n=59 v=0
102240 On ch=1 n=77 v=33
102720 On ch=1 n=69 v=33
102720 On ch=1 n=65 v=33
102720 On ch=1 n=62 v=33
102720 On ch=1 n=57 v=33
103679 On ch=1 n=77 v=0
103679 On ch=1 n=69 v=0
103679 On ch=1 n=65 v=0
103679 On ch=1 n=62 v=0
103679 On ch=1 n=57 v=0
103680 On ch=1 n=71 v=33
104159 On ch=1 n=71 v=0
104160 On ch=1 n=72 v=33
104160 On ch=1 n=65 v=33
104160 On ch=1 n=60 v=33
104160 On ch=1 n=57 v=33
104639 On ch=1 n=72 v=0
104640 On ch=1 n=77 v=33
105119 On ch=1 n=77 v=0
105119 On ch=1 n=65 v=0
105119 On ch=1 n=60 v=0
105119 On ch=1 n=57 v=0
105120 On ch=1 n=76 v=33
105599 On ch=1 n=76 v=0
105600 On ch=1 n=74 v=33
105600 On ch=1 n=69 v=33
105600 On ch=1 n=64 v=33
105600 On ch=1 n=60 v=33
106079 On ch=1 n=74 v=0
106080 On ch=1 n=72 v=33
106559 On ch=1 n=72 v=0
106559 On ch=1 n=69 v=0
106559 On ch=1 n=64 v=0
106559 On ch=1 n=60 v=0
106560 On ch=1 n=76 v=33
107039 On ch=1 n=76 v=0
107040 On ch=1 n=74 v=33
107040 On ch=1 n=69 v=33
107040 On ch=1 n=65 v=33
107040 On ch=1 n=60 v=33
107040 On ch=1 n=57 v=33
107519 On ch=1 n=74 v=0
107520 On ch=1 n=72 v=33
107999 On ch=1 n=72 v=0
107999 On ch=1 n=69 v=0
107999 On ch=1 n=65 v=0
107999 On ch=1 n=60 v=0
107999 On ch=1 n=57 v=0
108000 On ch=1 n=65 v=33
108480 On ch=1 n=62 v=33
108480 On ch=1 n=57 v=33
108959 On ch=1 n=62 v=0
108959 On ch=1 n=57 v=0
108960 On ch=1 n=67 v=33
108960 On ch=1 n=64 v=33
108960 On ch=1 n=59 v=33
109439 On ch=1 n=65 v=0
109439 On ch=1 n=67 v=0
109439 On ch=1 n=64 v=0
109439 On ch=1 n=59 v=0
109440 On ch=1 n=72 v=33
109440 On ch=1 n=69 v=33
109440 On ch=1 n=64 v=33
109440 On ch=1 n=60 v=33
110879 On ch=1 n=72 v=0
110879 On ch=1 n=69 v=0
110879 On ch=1 n=64 v=0
110879 On ch=1 n=60 v=0
110880 On ch=1 n=74 v=33
110880 On ch=1 n=69 v=33
110880 On ch=1 n=65 v=33
110880 On ch=1 n=62 v=33
112319 On ch=1 n=74 v=0
112319 On ch=1 n=69 v=0
112319 On ch=1 n=65 v=0
112319 On ch=1 n=62 v=0
112320 Meta TrkEnd
TrkEnd
MTrk
0 KeySig 2 major
0 On ch=1 n=43 v=33
1439 On ch=1 n=43 v=0
1440 On ch=1 n=38 v=33
2879 On ch=1 n=38 v=0
2880 On ch=1 n=43 v=33
4319 On ch=1 n=43 v=0
4320 On ch=1 n=38 v=33
5759 On ch=1 n=38 v=0
5760 On ch=1 n=43 v=33
7199 On ch=1 n=43 v=0
7200 On ch=1 n=38 v=33
8639 On ch=1 n=38 v=0
8640 On ch=1 n=43 v=33
10079 On ch=1 n=43 v=0
10080 On ch=1 n=38 v=33
11519 On ch=1 n=38 v=0
11520 On ch=1 n=43 v=33
